ID,Titulo,Artista,Idioma,Categoria,Imagen_URL,Enlace_Letra,Cancion_Original
594,Galvan Y Melendi Por Eso Canto,Los,ES,General,,https://genius.com/search?q=LOS%20GALVAN%20Y%20MELENDI%20POR%20ESO%20CANTO,LOS GALVAN Y MELENDI POR ESO CANTO
595,Aqui No Hay Playa,Los Inhumanos,ES,General,,https://genius.com/search?q=LOS%20INHUMANOS%20AQUI%20NO%20HAY%20PLAYA,LOS INHUMANOS AQUI NO HAY PLAYA
596,Hacer El Amor En Un Simca 1000,Los Inhumanos,ES,General,,https://genius.com/search?q=LOS%20INHUMANOS%20HACER%20EL%20AMOR%20EN%20UN%20SIMCA%201000,LOS INHUMANOS HACER EL AMOR EN UN SIMCA 1000
597,Me Duele La Cara,Los Inhumanos,ES,General,,https://genius.com/search?q=LOS%20INHUMANOS%20ME%20DUELE%20LA%20CARA,LOS INHUMANOS ME DUELE LA CARA
598,Lobos La Bamba,Los,ES,General,,https://genius.com/search?q=LOS%20LOBOS%20LA%20BAMBA,LOS LOBOS LA BAMBA
599,Lobos La Bamba,Los,ES,General,,https://genius.com/search?q=LOS%20LOBOS%20LA%20BAMBA,LOS LOBOS LA BAMBA
600,Manolos Amigos Para Siempre,Los,ES,General,,https://genius.com/search?q=LOS%20MANOLOS%20AMIGOS%20PARA%20SIEMPRE,LOS MANOLOS AMIGOS PARA SIEMPRE
601,Moles El Novio De La Muerte Legionario,Los,ES,General,,https://genius.com/search?q=LOS%20MOLES%20EL%20NOVIO%20DE%20LA%20MUERTE%20LEGIONARIO,LOS MOLES EL NOVIO DE LA MUERTE LEGIONARIO
602,Acordes,Los Pecos,ES,General,,https://genius.com/search?q=LOS%20PECOS%20ACORDES,LOS PECOS ACORDES
603,Esperanzas,Los Pecos,ES,General,,https://genius.com/search?q=LOS%20PECOS%20ESPERANZAS,LOS PECOS ESPERANZAS
604,Háblame De Ti,Los Pecos,ES,General,,https://genius.com/search?q=LOS%20PECOS%20H%C3%81BLAME%20DE%20TI,LOS PECOS HÁBLAME DE TI
605,Señor,Los Pecos,ES,General,,https://genius.com/search?q=LOS%20PECOS%20SE%C3%91OR,LOS PECOS SEÑOR
606,Bajo La Luz De La Luna,Los Rebeldes,ES,General,,https://genius.com/search?q=LOS%20REBELDES%20BAJO%20LA%20LUZ%20DE%20LA%20LUNA,LOS REBELDES BAJO LA LUZ DE LA LUNA
607,Mediterraneo,Los Rebeldes,ES,General,,https://genius.com/search?q=LOS%20REBELDES%20MEDITERRANEO,LOS REBELDES MEDITERRANEO
608,Mescalina,Los Rebeldes,ES,General,,https://genius.com/search?q=LOS%20REBELDES%20MESCALINA,LOS REBELDES MESCALINA
609,Mescalina,Los Rebeldes,ES,General,,https://genius.com/search?q=LOS%20REBELDES%20MESCALINA,LOS REBELDES MESCALINA
610,Refrescos Aquí No Hay Playa,Los,ES,General,,https://genius.com/search?q=LOS%20REFRESCOS%20AQU%C3%8D%20NO%20HAY%20PLAYA,LOS REFRESCOS AQUÍ NO HAY PLAYA
611,La Milonga Del Marinero Y El Capitan,Los Rodriguez,ES,General,,https://genius.com/search?q=LOS%20RODRIGUEZ%20LA%20MILONGA%20DEL%20MARINERO%20Y%20EL%20CAPITAN,LOS RODRIGUEZ LA MILONGA DEL MARINERO Y EL CAPITAN
612,Palabras Mas Palabras Menos,Los Rodriguez,ES,General,,https://genius.com/search?q=LOS%20RODRIGUEZ%20PALABRAS%20MAS%20PALABRAS%20MENOS,LOS RODRIGUEZ PALABRAS MAS PALABRAS MENOS
613,Sin Documentos,Los Rodriguez,ES,General,,https://genius.com/search?q=LOS%20RODRIGUEZ%20SIN%20DOCUMENTOS,LOS RODRIGUEZ SIN DOCUMENTOS
614,Ronaldos Adios Papa,Los,ES,General,,https://genius.com/search?q=LOS%20RONALDOS%20ADIOS%20PAPA,LOS RONALDOS ADIOS PAPA
615,Agarrate A Mi Maria,Los Secretos,ES,General,,https://genius.com/search?q=LOS%20SECRETOS%20AGARRATE%20A%20MI%20MARIA,LOS SECRETOS AGARRATE A MI MARIA
616,Aunque Tu No Lo Sepas,Los Secretos,ES,General,,https://genius.com/search?q=LOS%20SECRETOS%20AUNQUE%20TU%20NO%20LO%20SEPAS,LOS SECRETOS AUNQUE TU NO LO SEPAS
617,Déjame,Los Secretos,ES,General,,https://genius.com/search?q=LOS%20SECRETOS%20D%C3%89JAME,LOS SECRETOS DÉJAME
618,Ojos De Gata,Los Secretos,ES,General,,https://genius.com/search?q=LOS%20SECRETOS%20OJOS%20DE%20GATA,LOS SECRETOS OJOS DE GATA
619,Pero A Tu Lado,Los Secretos,ES,General,,https://genius.com/search?q=LOS%20SECRETOS%20PERO%20A%20TU%20LADO,LOS SECRETOS PERO A TU LADO
620,Por La Calle Del Olvido,Los Secretos,ES,General,,https://genius.com/search?q=LOS%20SECRETOS%20POR%20LA%20CALLE%20DEL%20OLVIDO,LOS SECRETOS POR LA CALLE DEL OLVIDO
621,Suaves Dolores Se Llamaba Lola,Los,ES,General,,https://genius.com/search?q=LOS%20SUAVES%20DOLORES%20SE%20LLAMABA%20LOLA,LOS SUAVES DOLORES SE LLAMABA LOLA
622,Fonsi & Manuel Turizo Vacaciones,Luis,ES,General,,https://genius.com/search?q=LUIS%20FONSI%20%26%20MANUEL%20TURIZO%20VACACIONES,LUIS FONSI & MANUEL TURIZO VACACIONES
