ID,Titulo,Artista,Idioma,Categoria,Imagen_URL,Enlace_Letra,Cancion_Original
1,Abba Mamma Mia Español,,ES,General,,https://genius.com/search?q=ABBA%20MAMMA%20MIA%20ESPA%C3%91OL,ABBA MAMMA MIA ESPAÑOL
2,Abraham Mateo Ft Channel Clavaito,,ES,General,,https://genius.com/search?q=ABRAHAM%20MATEO%20FT%20CHANNEL%20CLAVAITO,ABRAHAM MATEO FT CHANNEL CLAVAITO
3,Abraham Mateo Maniaca,,ES,General,,https://genius.com/search?q=ABRAHAM%20MATEO%20MANIACA,ABRAHAM MATEO MANIACA
4,Las Babys,Aitana,ES,General,,https://genius.com/search?q=AITANA%20LAS%20BABYS,AITANA LAS BABYS
5,Popcorn,Aitana,ES,General,,https://genius.com/search?q=AITANA%20POPCORN,AITANA POPCORN
6,& Cali Y El Dandee Menos Mas,Aitana,ES,General,,https://genius.com/search?q=AITANA%20%26%20CALI%20Y%20EL%20DANDEE%20MENOS%20MAS,AITANA & CALI Y EL DANDEE MENOS MAS
7,& Nicky Nicole Formentera,Aitana,ES,General,,https://genius.com/search?q=AITANA%20%26%20NICKY%20NICOLE%20FORMENTERA,AITANA & NICKY NICOLE FORMENTERA
8,Lo Bueno,Aitana,ES,General,,https://genius.com/search?q=AITANA%20LO%20BUENO,AITANA LO BUENO
9,Mandame Un Audio,Aitana,ES,General,,https://genius.com/search?q=AITANA%20MANDAME%20UN%20AUDIO,AITANA MANDAME UN AUDIO
10,Me Quedo,Aitana,ES,General,,https://genius.com/search?q=AITANA%20ME%20QUEDO,AITANA ME QUEDO
11,Telefono,Aitana,ES,General,,https://genius.com/search?q=AITANA%20TELEFONO,AITANA TELEFONO
12,Vas A Quedarte,Aitana,ES,General,,https://genius.com/search?q=AITANA%20VAS%20A%20QUEDARTE,AITANA VAS A QUEDARTE
13,Y Ana Guerra Lo Malo,Aitana,ES,General,,https://genius.com/search?q=AITANA%20Y%20ANA%20GUERRA%20LO%20MALO,AITANA Y ANA GUERRA LO MALO
14,A Quien Le Importa,Alaska,ES,General,,https://genius.com/search?q=ALASKA%20A%20QUIEN%20LE%20IMPORTA,ALASKA A QUIEN LE IMPORTA
15,Bailando,Alaska,ES,General,,https://genius.com/search?q=ALASKA%20BAILANDO,ALASKA BAILANDO
16,Como Pudiste Hacerme Esto A Mi,Alaska,ES,General,,https://genius.com/search?q=ALASKA%20COMO%20PUDISTE%20HACERME%20ESTO%20A%20MI,ALASKA COMO PUDISTE HACERME ESTO A MI
17,Ni Tu Ni Nadie,Alaska,ES,General,,https://genius.com/search?q=ALASKA%20NI%20TU%20NI%20NADIE,ALASKA NI TU NI NADIE
18,Amiga Mia,Alejandro Sanz,ES,General,,https://genius.com/search?q=ALEJANDRO%20SANZ%20AMIGA%20MIA,ALEJANDRO SANZ AMIGA MIA
19,Corazón Partío,Alejandro Sanz,ES,General,,https://genius.com/search?q=ALEJANDRO%20SANZ%20CORAZ%C3%93N%20PART%C3%8DO,ALEJANDRO SANZ CORAZÓN PARTÍO
20,Los Dos Cogidos De La Mano,Alejandro Sanz,ES,General,,https://genius.com/search?q=ALEJANDRO%20SANZ%20LOS%20DOS%20COGIDOS%20DE%20LA%20MANO,ALEJANDRO SANZ LOS DOS COGIDOS DE LA MANO
21,Pisando Fuerte,Alejandro Sanz,ES,General,,https://genius.com/search?q=ALEJANDRO%20SANZ%20PISANDO%20FUERTE,ALEJANDRO SANZ PISANDO FUERTE
22,Si Tú Me Miras,Alejandro Sanz,ES,General,,https://genius.com/search?q=ALEJANDRO%20SANZ%20SI%20T%C3%9A%20ME%20MIRAS,ALEJANDRO SANZ SI TÚ ME MIRAS
23,Viviendo Deprisa,Alejandro Sanz,ES,General,,https://genius.com/search?q=ALEJANDRO%20SANZ%20VIVIENDO%20DEPRISA,ALEJANDRO SANZ VIVIENDO DEPRISA
24,Y Si Fuera Ella,Alejandro Sanz,ES,General,,https://genius.com/search?q=ALEJANDRO%20SANZ%20Y%20SI%20FUERA%20ELLA,ALEJANDRO SANZ Y SI FUERA ELLA
25,A Gritos De Esperanza,Alex Ubago,ES,General,,https://genius.com/search?q=ALEX%20UBAGO%20A%20GRITOS%20DE%20ESPERANZA,ALEX UBAGO A GRITOS DE ESPERANZA
26,Aunque No Te Pueda Ver,Alex Ubago,ES,General,,https://genius.com/search?q=ALEX%20UBAGO%20AUNQUE%20NO%20TE%20PUEDA%20VER,ALEX UBAGO AUNQUE NO TE PUEDA VER
27,Que Pides Tu,Alex Ubago,ES,General,,https://genius.com/search?q=ALEX%20UBAGO%20QUE%20PIDES%20TU,ALEX UBAGO QUE PIDES TU
28,Sabes,Alex Ubago,ES,General,,https://genius.com/search?q=ALEX%20UBAGO%20SABES,ALEX UBAGO SABES
29,Sin Miedo A Nada,Alex Ubago,ES,General,,https://genius.com/search?q=ALEX%20UBAGO%20SIN%20MIEDO%20A%20NADA,ALEX UBAGO SIN MIEDO A NADA
30,Y Cristina Chas Y Aparezco A Tu Lado,Alex,ES,General,,https://genius.com/search?q=ALEX%20Y%20CRISTINA%20CHAS%20Y%20APAREZCO%20A%20TU%20LADO,ALEX Y CRISTINA CHAS Y APAREZCO A TU LADO
31,Alexis & Fido La Ex,,ES,General,,https://genius.com/search?q=ALEXIS%20%26%20FIDO%20LA%20EX,ALEXIS & FIDO LA EX
32,Juramento Eterno De Sal,Alvaro De Luna,ES,General,,https://genius.com/search?q=ALVARO%20DE%20LUNA%20JURAMENTO%20ETERNO%20DE%20SAL,ALVARO DE LUNA JURAMENTO ETERNO DE SAL
33,Levantaremos Al Sol,Alvaro De Luna,ES,General,,https://genius.com/search?q=ALVARO%20DE%20LUNA%20LEVANTAREMOS%20AL%20SOL,ALVARO DE LUNA LEVANTAREMOS AL SOL
34,Nuestra Cancion,Alvaro De Luna,ES,General,,https://genius.com/search?q=ALVARO%20DE%20LUNA%20NUESTRA%20CANCION,ALVARO DE LUNA NUESTRA CANCION
35,El Mismo Sol,Alvaro Soler,ES,General,,https://genius.com/search?q=ALVARO%20SOLER%20EL%20MISMO%20SOL,ALVARO SOLER EL MISMO SOL
36,La Cintura,Alvaro Soler,ES,General,,https://genius.com/search?q=ALVARO%20SOLER%20LA%20CINTURA,ALVARO SOLER LA CINTURA
37,Sofia,Alvaro Soler,ES,General,,https://genius.com/search?q=ALVARO%20SOLER%20SOFIA,ALVARO SOLER SOFIA
38,Y Morat Yo Contigo Tu Conmigo,Alvaro Soler,ES,General,,https://genius.com/search?q=ALVARO%20SOLER%20Y%20MORAT%20YO%20CONTIGO%20TU%20CONMIGO,ALVARO SOLER Y MORAT YO CONTIGO TU CONMIGO
39,Amador Rivas Mandanga Style,,ES,General,,https://genius.com/search?q=AMADOR%20RIVAS%20MANDANGA%20STYLE,AMADOR RIVAS MANDANGA STYLE
40,20 De Enero,Amaia Montero,ES,General,,https://genius.com/search?q=AMAIA%20MONTERO%2020%20DE%20ENERO,AMAIA MONTERO 20 DE ENERO
41,Puede Ser,Amaia Montero,ES,General,,https://genius.com/search?q=AMAIA%20MONTERO%20PUEDE%20SER,AMAIA MONTERO PUEDE SER
42,Puedes Contar Conmigo,Amaia Montero,ES,General,,https://genius.com/search?q=AMAIA%20MONTERO%20PUEDES%20CONTAR%20CONMIGO,AMAIA MONTERO PUEDES CONTAR CONMIGO
43,Como Hablar,Amaral,ES,General,,https://genius.com/search?q=AMARAL%20COMO%20HABLAR,AMARAL COMO HABLAR
44,Dias De Verano,Amaral,ES,General,,https://genius.com/search?q=AMARAL%20DIAS%20DE%20VERANO,AMARAL DIAS DE VERANO
45,Marta Sebas Guille Y Los Demas,Amaral,ES,General,,https://genius.com/search?q=AMARAL%20MARTA%20SEBAS%20GUILLE%20Y%20LOS%20DEMAS,AMARAL MARTA SEBAS GUILLE Y LOS DEMAS
46,Moriria Por Vos,Amaral,ES,General,,https://genius.com/search?q=AMARAL%20MORIRIA%20POR%20VOS,AMARAL MORIRIA POR VOS
47,Sin Ti No Soy Nada,Amaral,ES,General,,https://genius.com/search?q=AMARAL%20SIN%20TI%20NO%20SOY%20NADA,AMARAL SIN TI NO SOY NADA
48,Toda La Noche En La Calle,Amaral,ES,General,,https://genius.com/search?q=AMARAL%20TODA%20LA%20NOCHE%20EN%20LA%20CALLE,AMARAL TODA LA NOCHE EN LA CALLE
49,Amaya Vete,,ES,General,,https://genius.com/search?q=AMAYA%20VETE,AMAYA VETE
50,Amigos De Gines El Adios,,ES,General,,https://genius.com/search?q=AMIGOS%20DE%20GINES%20EL%20ADIOS,AMIGOS DE GINES EL ADIOS
51,Africanos En Madrid,Amistades Peligrosas,ES,General,,https://genius.com/search?q=AMISTADES%20PELIGROSAS%20AFRICANOS%20EN%20MADRID,AMISTADES PELIGROSAS AFRICANOS EN MADRID
52,Estoy Por Ti,Amistades Peligrosas,ES,General,,https://genius.com/search?q=AMISTADES%20PELIGROSAS%20ESTOY%20POR%20TI,AMISTADES PELIGROSAS ESTOY POR TI
53,Me Haces Tanto Bien,Amistades Peligrosas,ES,General,,https://genius.com/search?q=AMISTADES%20PELIGROSAS%20ME%20HACES%20TANTO%20BIEN,AMISTADES PELIGROSAS ME HACES TANTO BIEN
54,Agapi Mu,Ana Belen,ES,General,,https://genius.com/search?q=ANA%20BELEN%20AGAPI%20MU,ANA BELEN AGAPI MU
55,Contamíname,Ana Belen,ES,General,,https://genius.com/search?q=ANA%20BELEN%20CONTAM%C3%8DNAME,ANA BELEN CONTAMÍNAME
56,El Hombre Del Piano,Ana Belen,ES,General,,https://genius.com/search?q=ANA%20BELEN%20EL%20HOMBRE%20DEL%20PIANO,ANA BELEN EL HOMBRE DEL PIANO
57,La Muralla,Ana Belen,ES,General,,https://genius.com/search?q=ANA%20BELEN%20LA%20MURALLA,ANA BELEN LA MURALLA
58,Lia,Ana Belen,ES,General,,https://genius.com/search?q=ANA%20BELEN%20LIA,ANA BELEN LIA
59,Solo Le Pido A Dios,Ana Belen,ES,General,,https://genius.com/search?q=ANA%20BELEN%20SOLO%20LE%20PIDO%20A%20DIOS,ANA BELEN SOLO LE PIDO A DIOS
60,Y Victor Manuel La Puerta De Alcalá,Ana Belen,ES,General,,https://genius.com/search?q=ANA%20BELEN%20Y%20VICTOR%20MANUEL%20LA%20PUERTA%20DE%20ALCAL%C3%81,ANA BELEN Y VICTOR MANUEL LA PUERTA DE ALCALÁ
61,Guerra Y Juan Magan Ni La Hora,Ana,ES,General,,https://genius.com/search?q=ANA%20GUERRA%20Y%20JUAN%20MAGAN%20NI%20LA%20HORA,ANA GUERRA Y JUAN MAGAN NI LA HORA
62,& Belinda Las 12,Ana Mena,ES,General,,https://genius.com/search?q=ANA%20MENA%20%26%20BELINDA%20LAS%2012,ANA MENA & BELINDA LAS 12
63,Fred De Palma Se Iluminaba,Ana Mena,ES,General,,https://genius.com/search?q=ANA%20MENA%20FRED%20DE%20PALMA%20SE%20ILUMINABA,ANA MENA FRED DE PALMA SE ILUMINABA
64,Madrid City,Ana Mena,ES,General,,https://genius.com/search?q=ANA%20MENA%20MADRID%20CITY,ANA MENA MADRID CITY
65,Musica Ligera,Ana Mena,ES,General,,https://genius.com/search?q=ANA%20MENA%20MUSICA%20LIGERA,ANA MENA MUSICA LIGERA
66,Un Clasico,Ana Mena,ES,General,,https://genius.com/search?q=ANA%20MENA%20UN%20CLASICO,ANA MENA UN CLASICO
67,Andrea Bocelli Vivo Por Ella,,ES,General,,https://genius.com/search?q=ANDREA%20BOCELLI%20VIVO%20POR%20ELLA,ANDREA BOCELLI VIVO POR ELLA
68,Andres Calamaro Flaca,,ES,General,,https://genius.com/search?q=ANDRES%20CALAMARO%20FLACA,ANDRES CALAMARO FLACA
69,Andres Cepeda Sebastian Yatra Magia,,ES,General,,https://genius.com/search?q=ANDRES%20CEPEDA%20SEBASTIAN%20YATRA%20MAGIA,ANDRES CEPEDA SEBASTIAN YATRA MAGIA
70,Quiero Ser Tu Sueño,Andy Y Lucas,ES,General,,https://genius.com/search?q=ANDY%20Y%20LUCAS%20QUIERO%20SER%20TU%20SUE%C3%91O,ANDY Y LUCAS QUIERO SER TU SUEÑO
71,Son De Amores,Andy Y Lucas,ES,General,,https://genius.com/search?q=ANDY%20Y%20LUCAS%20SON%20DE%20AMORES,ANDY Y LUCAS SON DE AMORES
72,Tanto La Quería,Andy Y Lucas,ES,General,,https://genius.com/search?q=ANDY%20Y%20LUCAS%20TANTO%20LA%20QUER%C3%8DA,ANDY Y LUCAS TANTO LA QUERÍA
73,Y En Tu Ventana,Andy Y Lucas,ES,General,,https://genius.com/search?q=ANDY%20Y%20LUCAS%20Y%20EN%20TU%20VENTANA,ANDY Y LUCAS Y EN TU VENTANA
74,Angela Carrasco Si Tu Eres Mi Hombre,,ES,General,,https://genius.com/search?q=ANGELA%20CARRASCO%20SI%20TU%20ERES%20MI%20HOMBRE,ANGELA CARRASCO SI TU ERES MI HOMBRE
75,Angeles Del Infierno Al Otro Lado Del Sielncio,,ES,General,,https://genius.com/search?q=ANGELES%20DEL%20INFIERNO%20AL%20OTRO%20LADO%20DEL%20SIELNCIO,ANGELES DEL INFIERNO AL OTRO LADO DEL SIELNCIO
76,Angeles Del Infierno Maldito Sea Tu Nombre,,ES,General,,https://genius.com/search?q=ANGELES%20DEL%20INFIERNO%20MALDITO%20SEA%20TU%20NOMBRE,ANGELES DEL INFIERNO MALDITO SEA TU NOMBRE
77,Aguilar Juan Charrasqueado,Antonio,ES,General,,https://genius.com/search?q=ANTONIO%20AGUILAR%20JUAN%20CHARRASQUEADO,ANTONIO AGUILAR JUAN CHARRASQUEADO
78,Banderas El Mariachi,Antonio,ES,General,,https://genius.com/search?q=ANTONIO%20BANDERAS%20EL%20MARIACHI,ANTONIO BANDERAS EL MARIACHI
79,Abril,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20ABRIL,ANTONIO FLORES ABRIL
80,Alba,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20ALBA,ANTONIO FLORES ALBA
81,Arriba Los Corazones,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20ARRIBA%20LOS%20CORAZONES,ANTONIO FLORES ARRIBA LOS CORAZONES
82,Cuerpo De Mujer,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20CUERPO%20DE%20MUJER,ANTONIO FLORES CUERPO DE MUJER
83,El Coraje De Vivir,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20EL%20CORAJE%20DE%20VIVIR,ANTONIO FLORES EL CORAJE DE VIVIR
84,No Dudaría,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20NO%20DUDAR%C3%8DA,ANTONIO FLORES NO DUDARÍA
85,No Puedo Enamorarme De Ti,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20NO%20PUEDO%20ENAMORARME%20DE%20TI,ANTONIO FLORES NO PUEDO ENAMORARME DE TI
86,Siete Vidas,Antonio Flores,ES,General,,https://genius.com/search?q=ANTONIO%20FLORES%20SIETE%20VIDAS,ANTONIO FLORES SIETE VIDAS
87,Contigo,Antonio Jose,ES,General,,https://genius.com/search?q=ANTONIO%20JOSE%20CONTIGO,ANTONIO JOSE CONTIGO
88,El Perdon,Antonio Jose,ES,General,,https://genius.com/search?q=ANTONIO%20JOSE%20EL%20PERDON,ANTONIO JOSE EL PERDON
89,La Noche Perfecta,Antonio Jose,ES,General,,https://genius.com/search?q=ANTONIO%20JOSE%20LA%20NOCHE%20PERFECTA,ANTONIO JOSE LA NOCHE PERFECTA
90,Odiame,Antonio Jose,ES,General,,https://genius.com/search?q=ANTONIO%20JOSE%20ODIAME,ANTONIO JOSE ODIAME
91,José Te Traigo Flores,Antonio,ES,General,,https://genius.com/search?q=ANTONIO%20JOS%C3%89%20TE%20TRAIGO%20FLORES,ANTONIO JOSÉ TE TRAIGO FLORES
92,Adios Mi España Querida,Antonio Molina,ES,General,,https://genius.com/search?q=ANTONIO%20MOLINA%20ADIOS%20MI%20ESPA%C3%91A%20QUERIDA,ANTONIO MOLINA ADIOS MI ESPAÑA QUERIDA
93,"Cocinero, Cocinero",Antonio Molina,ES,General,,https://genius.com/search?q=ANTONIO%20MOLINA%20COCINERO%2C%20COCINERO,"ANTONIO MOLINA COCINERO, COCINERO"
94,El Agua Del Avellano,Antonio Molina,ES,General,,https://genius.com/search?q=ANTONIO%20MOLINA%20EL%20AGUA%20DEL%20AVELLANO,ANTONIO MOLINA EL AGUA DEL AVELLANO
95,Soy Minero,Antonio Molina,ES,General,,https://genius.com/search?q=ANTONIO%20MOLINA%20SOY%20MINERO,ANTONIO MOLINA SOY MINERO
96,Soy Un Pobre Presidiario,Antonio Molina,ES,General,,https://genius.com/search?q=ANTONIO%20MOLINA%20SOY%20UN%20POBRE%20PRESIDIARIO,ANTONIO MOLINA SOY UN POBRE PRESIDIARIO
97,Yo Quiero Ser Matador,Antonio Molina,ES,General,,https://genius.com/search?q=ANTONIO%20MOLINA%20YO%20QUIERO%20SER%20MATADOR,ANTONIO MOLINA YO QUIERO SER MATADOR
98,De Pedacitos De Ti,Antonio Orozco,ES,General,,https://genius.com/search?q=ANTONIO%20OROZCO%20DE%20PEDACITOS%20DE%20TI,ANTONIO OROZCO DE PEDACITOS DE TI
99,Devuelveme La Vida Mpg,Antonio Orozco,ES,General,,https://genius.com/search?q=ANTONIO%20OROZCO%20DEVUELVEME%20LA%20VIDA%20MPG,ANTONIO OROZCO DEVUELVEME LA VIDA MPG
100,Entre Sobras Y Sobras Y Sobras Me Faltas,Antonio Orozco,ES,General,,https://genius.com/search?q=ANTONIO%20OROZCO%20ENTRE%20SOBRAS%20Y%20SOBRAS%20Y%20SOBRAS%20ME%20FALTAS,ANTONIO OROZCO ENTRE SOBRAS Y SOBRAS Y SOBRAS ME FALTAS
101,Es Mi Soledad,Antonio Orozco,ES,General,,https://genius.com/search?q=ANTONIO%20OROZCO%20ES%20MI%20SOLEDAD,ANTONIO OROZCO ES MI SOLEDAD
102,Lo Que Tu Quieras Soy,Antonio Orozco,ES,General,,https://genius.com/search?q=ANTONIO%20OROZCO%20LO%20QUE%20TU%20QUIERAS%20SOY,ANTONIO OROZCO LO QUE TU QUIERAS SOY
103,Mi Heroe,Antonio Orozco,ES,General,,https://genius.com/search?q=ANTONIO%20OROZCO%20MI%20HEROE,ANTONIO OROZCO MI HEROE
104,Y Alejandro Fernandez Estoy Hecho De Pedacitos De Ti,Antonio Orozco,ES,General,,https://genius.com/search?q=ANTONIO%20OROZCO%20Y%20ALEJANDRO%20FERNANDEZ%20ESTOY%20HECHO%20DE%20PEDACITOS%20DE%20TI,ANTONIO OROZCO Y ALEJANDRO FERNANDEZ ESTOY HECHO DE PEDACITOS DE TI
105,Vega El Sitio De Mi Recreo,Antonio,ES,General,,https://genius.com/search?q=ANTONIO%20VEGA%20EL%20SITIO%20DE%20MI%20RECREO,ANTONIO VEGA EL SITIO DE MI RECREO
106,Vega Se Dejaba Llevar,Antonio,ES,General,,https://genius.com/search?q=ANTONIO%20VEGA%20SE%20DEJABA%20LLEVAR,ANTONIO VEGA SE DEJABA LLEVAR
107,Arde Bogota La Salvacion,,ES,General,,https://genius.com/search?q=ARDE%20BOGOTA%20LA%20SALVACION,ARDE BOGOTA LA SALVACION
108,Aventura Obsesion,,ES,General,,https://genius.com/search?q=AVENTURA%20OBSESION,AVENTURA OBSESION
109,Aventura Y Don Omar Ella Y Yo,,ES,General,,https://genius.com/search?q=AVENTURA%20Y%20DON%20OMAR%20ELLA%20Y%20YO,AVENTURA Y DON OMAR ELLA Y YO
110,Azucar Moreno Solo Se Vive Una Vez,,ES,General,,https://genius.com/search?q=AZUCAR%20MORENO%20SOLO%20SE%20VIVE%20UNA%20VEZ,AZUCAR MORENO SOLO SE VIVE UNA VEZ
111,Azucar Moreno Ven Devorame Otra Vez,,ES,General,,https://genius.com/search?q=AZUCAR%20MORENO%20VEN%20DEVORAME%20OTRA%20VEZ,AZUCAR MORENO VEN DEVORAME OTRA VEZ
112,Bacilos Tabaco Y Chanel,,ES,General,,https://genius.com/search?q=BACILOS%20TABACO%20Y%20CHANEL,BACILOS TABACO Y CHANEL
113,Amorfoda,Bad Bunny,ES,General,,https://genius.com/search?q=BAD%20BUNNY%20AMORFODA,BAD BUNNY AMORFODA
114,Enrique Iglesias El Baño,Bad Bunny,ES,General,,https://genius.com/search?q=BAD%20BUNNY%20ENRIQUE%20IGLESIAS%20EL%20BA%C3%91O,BAD BUNNY ENRIQUE IGLESIAS EL BAÑO
115,Titi Me Pregunto,Bad Bunny,ES,General,,https://genius.com/search?q=BAD%20BUNNY%20TITI%20ME%20PREGUNTO,BAD BUNNY TITI ME PREGUNTO
116,Beatriz Luengo Yotuel Como Tu No Hay Dos,,ES,General,,https://genius.com/search?q=BEATRIZ%20LUENGO%20YOTUEL%20COMO%20TU%20NO%20HAY%20DOS,BEATRIZ LUENGO YOTUEL COMO TU NO HAY DOS
117,Becky G Y Natti Natasha Sin Pijama,,ES,General,,https://genius.com/search?q=BECKY%20G%20Y%20NATTI%20NATASHA%20SIN%20PIJAMA,BECKY G Y NATTI NATASHA SIN PIJAMA
118,Becky Y Bad Bunny Mayores,,ES,General,,https://genius.com/search?q=BECKY%20Y%20BAD%20BUNNY%20MAYORES,BECKY Y BAD BUNNY MAYORES
119,Benito Kamelas Y No Cambiamos Ni Un Solo Minuto,,ES,General,,https://genius.com/search?q=BENITO%20KAMELAS%20Y%20NO%20CAMBIAMOS%20NI%20UN%20SOLO%20MINUTO,BENITO KAMELAS Y NO CAMBIAMOS NI UN SOLO MINUTO
120,Lo Siento,Beret,ES,General,,https://genius.com/search?q=BERET%20LO%20SIENTO,BERET LO SIENTO
121,El Dia Menos Pensado,Beret,ES,General,,https://genius.com/search?q=BERET%20EL%20DIA%20MENOS%20PENSADO,BERET EL DIA MENOS PENSADO
122,Lo Siento,Beret,ES,General,,https://genius.com/search?q=BERET%20LO%20SIENTO,BERET LO SIENTO
123,Ojala,Beret,ES,General,,https://genius.com/search?q=BERET%20OJALA,BERET OJALA
124,Si Por Mi Fuera,Beret,ES,General,,https://genius.com/search?q=BERET%20SI%20POR%20MI%20FUERA,BERET SI POR MI FUERA
125,Vuelve,Beret,ES,General,,https://genius.com/search?q=BERET%20VUELVE,BERET VUELVE
126,Estopa Diablo,Beret Y,ES,General,,https://genius.com/search?q=BERET%20Y%20ESTOPA%20DIABLO,BERET Y ESTOPA DIABLO
127,Lerica Ron,Beret Y,ES,General,,https://genius.com/search?q=BERET%20Y%20LERICA%20RON,BERET Y LERICA RON
128,Morat Porfa No Te Vayas,Beret Y,ES,General,,https://genius.com/search?q=BERET%20Y%20MORAT%20PORFA%20NO%20TE%20VAYAS,BERET Y MORAT PORFA NO TE VAYAS
129,Amor Mediterraneo,Bertin Osborne,ES,General,,https://genius.com/search?q=BERTIN%20OSBORNE%20AMOR%20MEDITERRANEO,BERTIN OSBORNE AMOR MEDITERRANEO
130,Echame A Mi La Culpa,Bertin Osborne,ES,General,,https://genius.com/search?q=BERTIN%20OSBORNE%20ECHAME%20A%20MI%20LA%20CULPA,BERTIN OSBORNE ECHAME A MI LA CULPA
131,Noches De San Juan,Bertin Osborne,ES,General,,https://genius.com/search?q=BERTIN%20OSBORNE%20NOCHES%20DE%20SAN%20JUAN,BERTIN OSBORNE NOCHES DE SAN JUAN
132,Beth Dime,,ES,General,,https://genius.com/search?q=BETH%20DIME,BETH DIME
133,Big Yamo Entre La Playa Ella Y Yo,,ES,General,,https://genius.com/search?q=BIG%20YAMO%20ENTRE%20LA%20PLAYA%20ELLA%20Y%20YO,BIG YAMO ENTRE LA PLAYA ELLA Y YO
134,Bombai Vuela,,ES,General,,https://genius.com/search?q=BOMBAI%20VUELA,BOMBAI VUELA
135,Bomgo Botrako Todos Los Dias Sale El Sol,,ES,General,,https://genius.com/search?q=BOMGO%20BOTRAKO%20TODOS%20LOS%20DIAS%20SALE%20EL%20SOL,BOMGO BOTRAKO TODOS LOS DIAS SALE EL SOL
136,Bordon 4 Qué Cara Más Bonita,,ES,General,,https://genius.com/search?q=BORDON%204%20QU%C3%89%20CARA%20M%C3%81S%20BONITA,BORDON 4 QUÉ CARA MÁS BONITA
137,Bravo And Djs Difacil Rap,,ES,General,,https://genius.com/search?q=BRAVO%20AND%20DJS%20DIFACIL%20RAP,BRAVO AND DJS DIFACIL RAP
138,Burning Mueve Tus Caderas,,ES,General,,https://genius.com/search?q=BURNING%20MUEVE%20TUS%20CADERAS,BURNING MUEVE TUS CADERAS
139,Burning Que Hace Una Chica Como Tu En Un Sitio Como Este,,ES,General,,https://genius.com/search?q=BURNING%20QUE%20HACE%20UNA%20CHICA%20COMO%20TU%20EN%20UN%20SITIO%20COMO%20ESTE,BURNING QUE HACE UNA CHICA COMO TU EN UN SITIO COMO ESTE
140,& Omar Montes Una Y Mil Veces,C Tangana,ES,General,,https://genius.com/search?q=C%20TANGANA%20%26%20OMAR%20MONTES%20UNA%20Y%20MIL%20VECES,C TANGANA & OMAR MONTES UNA Y MIL VECES
141,Ingobernable,C Tangana,ES,General,,https://genius.com/search?q=C%20TANGANA%20INGOBERNABLE,C TANGANA INGOBERNABLE
142,Tu Me Dejaste De Querer,C Tangana,ES,General,,https://genius.com/search?q=C%20TANGANA%20TU%20ME%20DEJASTE%20DE%20QUERER,C TANGANA TU ME DEJASTE DE QUERER
143,Y Nathy Peluso Ateo,C Tangana,ES,General,,https://genius.com/search?q=C%20TANGANA%20Y%20NATHY%20PELUSO%20ATEO,C TANGANA Y NATHY PELUSO ATEO
144,Café Quijano La Taberna Del Buda,,ES,General,,https://genius.com/search?q=CAF%C3%89%20QUIJANO%20LA%20TABERNA%20DEL%20BUDA,CAFÉ QUIJANO LA TABERNA DEL BUDA
145,Cali Y Dandee Gol,,ES,General,,https://genius.com/search?q=CALI%20Y%20DANDEE%20GOL,CALI Y DANDEE GOL
146,Cali Y Dandee Yo Te Esperare,,ES,General,,https://genius.com/search?q=CALI%20Y%20DANDEE%20YO%20TE%20ESPERARE,CALI Y DANDEE YO TE ESPERARE
147,Camaron De La Isla Como El Agua,,ES,General,,https://genius.com/search?q=CAMARON%20DE%20LA%20ISLA%20COMO%20EL%20AGUA,CAMARON DE LA ISLA COMO EL AGUA
148,Camaron De La Isla Volando Voy,,ES,General,,https://genius.com/search?q=CAMARON%20DE%20LA%20ISLA%20VOLANDO%20VOY,CAMARON DE LA ISLA VOLANDO VOY
149,Cuando Zarpa El Amor,Camela,ES,General,,https://genius.com/search?q=CAMELA%20CUANDO%20ZARPA%20EL%20AMOR,CAMELA CUANDO ZARPA EL AMOR
150,Háblale De Mi,Camela,ES,General,,https://genius.com/search?q=CAMELA%20H%C3%81BLALE%20DE%20MI,CAMELA HÁBLALE DE MI
151,Lagrimas De Amor,Camela,ES,General,,https://genius.com/search?q=CAMELA%20LAGRIMAS%20DE%20AMOR,CAMELA LAGRIMAS DE AMOR
152,Nunca Debi Enamorarme,Camela,ES,General,,https://genius.com/search?q=CAMELA%20NUNCA%20DEBI%20ENAMORARME,CAMELA NUNCA DEBI ENAMORARME
153,Sueño Contigo,Camela,ES,General,,https://genius.com/search?q=CAMELA%20SUE%C3%91O%20CONTIGO,CAMELA SUEÑO CONTIGO
154,Camila Mientes,,ES,General,,https://genius.com/search?q=CAMILA%20MIENTES,CAMILA MIENTES
155,Millones,Camilo,ES,General,,https://genius.com/search?q=CAMILO%20MILLONES,CAMILO MILLONES
156,& Eva Luna Indigo,Camilo,ES,General,,https://genius.com/search?q=CAMILO%20%26%20EVA%20LUNA%20INDIGO,CAMILO & EVA LUNA INDIGO
